,FROMCOMID,FROMHYDSEQ,FROMLVLPAT,TOCOMID,TOHYDSEQ,TOLVLPAT,NODENUMBER,DELTALEVEL,DIRECTION,GAPDISTKM,HasGeo,TotDASqKM,DivDASqKM,Region,ComID,Fdate,StreamLeve,StreamOrde,StreamCalc,FromNode,ToNode,Hydroseq,LevelPathI,Pathlength,TerminalPa,Divergence,StartFlag,TerminalFl,DnLevel,ThinnerCod,UpLevelPat,UpHydroseq,DnLevelPat,DnMinorHyd,DnDrainCou,DnHydroseq,FromMeas,ToMeas,ReachCode,LengthKM,Fcode,RtnDiv,OutDiv,DivEffect,VPUIn,VPUOut,AreaSqKM,Tidal,TOTMA,WBAreaType,CentroidLatitude,CentroidLongitude,WBAREACOMI,MAXELEVRAW,MINELEVRAW,MAXELEVSMO,MINELEVSMO,SLOPE,ELEVFIXED,HWTYPE,STATUSFLAG,SLOPELENKM,COMID,REACHCODE,HUC12,TOHUC,Length,BANKFULL_WIDTH,BANKFULL_DEPTH,BANKFULL_XSEC_AREA
1,8625727,250026696,250020754,8625739,250025920,250020754,250007349,0,709,0,Y,95.9913,95.9913,03N,8625727,7/3/2012,2,3,3,250007344,250007349,250026696,250020754,574.746,250002964,0,0,0,2,0,250020754,250027539,250020754,0,1,250025920,0,100,03010101000420,0.505,46006,0,0,0,0,0,0.1566,0,0.0147875552,,37.17675104,-79.95604114,NA,-9998,29635,30262,29827,0.00861386,0,,A,0.505,8625727,03010101000420,030101010405,030101010701,0.0,20.74,0.96,20.39
1,8625717,250025223,250020754,8625697,250024575,250020754,250007338,0,709,0,Y,104.8851,104.8851,03N,8625717,7/3/2012,2,3,3,250007343,250007338,250025223,250020754,572.43,250002964,0,0,0,2,0,250020754,250025920,250020754,0,1,250024575,0,100,03010101000418,0.929,46006,0,0,0,0,0,0.4662,0,0.05406047951,,37.17982376,-79.9405457,NA,-9998,29010,29166,29166,1E-05,0,,A,0.929,8625717,03010101000418,030101010405,030101010701,0.0,21.52,0.99,21.70
1,8625697,250024575,250020754,8625685,250023971,250020754,250007333,0,709,0,Y,106.9173,106.9173,03N,8625697,7/3/2012,2,3,3,250007338,250007333,250024575,250020754,572.271,250002964,0,0,0,2,0,250020754,250025223,250020754,0,1,250023971,0,100,03010101000417,0.159,46006,0,0,0,0,0,0.0324,0,0.00406674799,,37.17972434,-79.9338532,NA,-9998,28717,29166,28814,0.02213836,0,,A,0.159,8625697,03010101000417,030101010405,030101010701,0.0,21.69,0.99,22.00
1,8625685,250023971,250020754,8625615,250023400,250020754,250007311,0,709,0,Y,117.666,117.666,03N,8625685,7/3/2012,2,3,3,250007333,250007311,250023971,250020754,569.98,250002964,0,0,0,2,0,250020754,250024575,250020754,0,1,250023400,0,100,03010101000416,2.291,46006,0,0,0,0,0,1.2879,0,0.08377913651,,37.18723312,-79.92923536,NA,-9998,28374,28814,28593,0.00096464,0,,A,2.291,8625685,03010101000416,030101010405,030101010701,0.0,22.57,1.02,23.53
1,8625615,250023400,250020754,8625547,250022885,250020754,250007290,0,709,0,Y,120.9636,120.9636,03N,8625615,7/3/2012,2,3,3,250007311,250007290,250023400,250020754,568.866,250002964,0,0,0,2,0,250020754,250023971,250020754,0,1,250022885,0,100,03010101000415,1.114,46006,0,0,0,0,0,0.9954,0,0.03231594338,,37.18567399,-79.91652609,NA,-9998,27791,28593,27842,0.00674147,0,,A,1.114,8625615,03010101000415,030101010405,030101010701,0.0,22.83,1.03,23.99
1,8625547,250022885,250020754,8625523,250022401,250020754,250007282,0,709,0,Y,122.9418,122.9418,03N,8625547,7/3/2012,2,3,3,250007290,250007282,250022885,250020754,568.097,250002964,0,0,0,2,0,250020754,250023400,250020754,0,1,250022401,0,100,03010101000414,0.769,46006,0,0,0,0,0,0.5337,0,0.02793631758,,37.19407055,-79.91525514,NA,-9998,27623,27842,27768,0.00096228,0,,A,0.769,8625547,03010101000414,030101010405,030101010701,0.0,22.98,1.03,24.27
1,8625523,250022401,250020754,8625375,250021947,250020754,250007230,0,709,0,Y,130.2354,130.2354,03N,8625523,7/3/2012,2,3,3,250007282,250007230,250022401,250020754,564.847,250002964,0,0,0,2,0,250020754,250022885,250020754,0,1,250021947,0,100,03010101000413,3.25,46006,0,0,0,0,0,4.4802,0,0.09934412027,,37.20347211,-79.90563017,NA,-9998,26295,27768,26488,0.00393846,0,,A,3.25,8625523,03010101000413,030101010405,030101010701,0.0,23.54,1.05,25.27
1,8625375,250021947,250020754,8625313,250021525,250020754,250007209,0,709,0,Y,139.3524,139.3524,03N,8625375,7/3/2012,2,3,3,250007230,250007209,250021947,250020754,563.038,250002964,0,0,0,2,0,250020754,250022401,250020754,0,1,250021525,0,100,03010101000412,1.809,46006,0,0,0,0,0,1.5651,0,0.0523057269,,37.21403768,-79.88622288,NA,-9998,25368,26488,25459,0.00568822,0,,A,1.809,8625375,03010101000412,030101010405,030101010701,0.0,24.21,1.07,26.50
1,8625313,250021525,250020754,8625279,250021125,250020754,250007202,0,709,0,Y,145.1529,145.1529,03N,8625313,7/3/2012,2,3,3,250007209,250007202,250021525,250020754,558.751,250002964,0,0,0,2,0,250020754,250021947,250020754,0,1,250021125,0,100,03010101000411,4.287,46006,0,0,0,0,0,3.1023,0,0.14909593731,,37.2228837,-79.87053967,NA,-9998,24848,25459,24952,0.00118264,0,,A,4.287,8625313,03010101000411,030101010405,030101010701,0.0,24.62,1.08,27.27
1,8625279,250021125,250020754,8627469,250020754,250020754,250007866,0,709,0,Y,151.992,151.992,03N,8625279,7/3/2012,2,3,3,250007202,250007866,250021125,250020754,556.341,250002964,0,0,0,2,0,250020754,250021525,250020754,0,1,250020754,1.91088,100,03010101000410,2.41,46006,0,0,0,0,0,2.133,0,0.07607163305,,37.22526,-79.85560583,NA,-9998,24214,24952,24337,0.00255186,0,,A,2.41,8625279,03010101000410,030101010405,030101010701,0.0,25.10,1.10,28.17
